item_type,item_number,condition_number,item_and_condition_numbers,image_1_agent,image_2_patient,image_3_distractor,audio
Exp,7,3,item7cond3,pinch1-agent.png,pinch1-patient.png,pinch1-distract.png,Comprehension-7C.wav
Exp,7,4,item7cond4,pinch1-agent.png,pinch1-patient.png,pinch1-distract.png,Comprehension-7D.wav
Exp,8,1,item8cond1,thank1-agent.png,thank1-patient.png,thank1-distract.png,Comprehension-8A.wav
Exp,8,2,item8cond2,thank1-agent.png,thank1-patient.png,thank1-distract.png,Comprehension-8B.wav
Exp,8,3,item8cond3,thank1-agent.png,thank1-patient.png,thank1-distract.png,Comprehension-8C.wav
Exp,8,4,item8cond4,thank1-agent.png,thank1-patient.png,thank1-distract.png,Comprehension-8D.wav
Exp,9,1,item9cond1,brush2-agent.png,brush2-patient.png,brush2-distract.png,Comprehension-9A.wav
Exp,9,2,item9cond2,brush2-agent.png,brush2-patient.png,brush2-distract.png,Comprehension-9B.wav
Exp,9,3,item9cond3,brush2-agent.png,brush2-patient.png,brush2-distract.png,Comprehension-9C.wav
Exp,9,4,item9cond4,brush2-agent.png,brush2-patient.png,brush2-distract.png,Comprehension-9D.wav
Exp,10,1,item10cond1,tickle2-agent.png,tickle2-patient.png,tickle2-distract.png,Comprehension-10A.wav
Exp,10,2,item10cond2,tickle2-agent.png,tickle2-patient.png,tickle2-distract.png,Comprehension-10B.wav
Exp,10,3,item10cond3,tickle2-agent.png,tickle2-patient.png,tickle2-distract.png,Comprehension-10C.wav
Exp,10,4,item10cond4,tickle2-agent.png,tickle2-patient.png,tickle2-distract.png,Comprehension-10D.wav
Exp,11,1,item11cond1,surprise2-agent.png,surprise2-patient.png,surprise2-distract.png,Comprehension-11A.wav
Exp,11,2,item11cond2,surprise2-agent.png,surprise2-patient.png,surprise2-distract.png,Comprehension-11B.wav
Exp,11,3,item11cond3,surprise2-agent.png,surprise2-patient.png,surprise2-distract.png,Comprehension-11C.wav
Exp,11,4,item11cond4,surprise2-agent.png,surprise2-patient.png,surprise2-distract.png,Comprehension-11D.wav
Exp,12,1,item12cond1,dance2-agent.png,dance2-patient.png,dance2-distract.png,Comprehension-12A.wav
Exp,12,2,item12cond2,dance2-agent.png,dance2-patient.png,dance2-distract.png,Comprehension-12B.wav
Exp,12,3,item12cond3,dance2-agent.png,dance2-patient.png,dance2-distract.png,Comprehension-12C.wav
Exp,12,4,item12cond4,dance2-agent.png,dance2-patient.png,dance2-distract.png,Comprehension-12D.wav
Exp,13,1,item13cond1,kiss2-agent.png,kiss2-patient.png,kiss2-distract.png,Comprehension-13A.wav
Exp,13,2,item13cond2,kiss2-agent.png,kiss2-patient.png,kiss2-distract.png,Comprehension-13B.wav
Exp,13,3,item13cond3,kiss2-agent.png,kiss2-patient.png,kiss2-distract.png,Comprehension-13C.wav
Exp,13,4,item13cond4,kiss2-agent.png,kiss2-patient.png,kiss2-distract.png,Comprehension-13D.wav
Exp,14,1,item14cond1,wave2-agent.png,wave2-patient.png,wave2-distract.png,Comprehension-14A.wav
Exp,14,2,item14cond2,wave2-agent.png,wave2-patient.png,wave2-distract.png,Comprehension-14B.wav
Exp,14,3,item14cond3,wave2-agent.png,wave2-patient.png,wave2-distract.png,Comprehension-14C.wav
Exp,14,4,item14cond4,wave2-agent.png,wave2-patient.png,wave2-distract.png,Comprehension-14D.wav
Exp,15,1,item15cond1,pinch2-agent.png,pinch2-patient.png,pinch2-distract.png,Comprehension-15A.wav
Exp,15,2,item15cond2,pinch2-agent.png,pinch2-patient.png,pinch2-distract.png,Comprehension-15B.wav
Exp,15,3,item15cond3,pinch2-agent.png,pinch2-patient.png,pinch2-distract.png,Comprehension-15C.wav
Exp,15,4,item15cond4,pinch2-agent.png,pinch2-patient.png,pinch2-distract.png,Comprehension-15D.wav
Exp,16,1,item16cond1,thank2-agent.png,thank2-patient.png,thank2-distract.png,Comprehension-16A.wav
Exp,16,2,item16cond2,thank2-agent.png,thank2-patient.png,thank2-distract.png,Comprehension-16B.wav
Exp,16,3,item16cond3,thank2-agent.png,thank2-patient.png,thank2-distract.png,Comprehension-16C.wav
Exp,16,4,item16cond4,thank2-agent.png,thank2-patient.png,thank2-distract.png,Comprehension-16D.wav
Exp,17,1,item17cond1,wake1-agent.png,wake1-patient.png,wake1-distract.png,Comprehension-17A.wav
Exp,17,2,item17cond2,wake1-agent.png,wake1-patient.png,wake1-distract.png,Comprehension-17B.wav
Exp,17,3,item17cond3,wake1-agent.png,wake1-patient.png,wake1-distract.png,Comprehension-17C.wav
Exp,17,4,item17cond4,wake1-agent.png,wake1-patient.png,wake1-distract.png,Comprehension-17D.wav
Exp,18,1,item18cond1,laugh1-agent.png,laugh1-patient.png,laugh1-distract.png,Comprehension-18A.wav
Exp,18,2,item18cond2,laugh1-agent.png,laugh1-patient.png,laugh1-distract.png,Comprehension-18B.wav
Exp,18,3,item18cond3,laugh1-agent.png,laugh1-patient.png,laugh1-distract.png,Comprehension-18C.wav
Exp,18,4,item18cond4,laugh1-agent.png,laugh1-patient.png,laugh1-distract.png,Comprehension-18D.wav
Exp,19,1,item19cond1,photograph1-agent.png,photograph1-patient.png,photograph1-distract.png,Comprehension-19A.wav
Exp,19,2,item19cond2,photograph1-agent.png,photograph1-patient.png,photograph1-distract.png,Comprehension-19B.wav
Exp,19,3,item19cond3,photograph1-agent.png,photograph1-patient.png,photograph1-distract.png,Comprehension-19C.wav
Exp,19,4,item19cond4,photograph1-agent.png,photograph1-patient.png,photograph1-distract.png,Comprehension-19D.wav
Exp,20,1,item20cond1,follow1-agent.png,follow1-patient.png,follow1-distract.png,Comprehension-20A.wav
Exp,20,2,item20cond2,follow1-agent.png,follow1-patient.png,follow1-distract.png,Comprehension-20B.wav
Exp,20,3,item20cond3,follow1-agent.png,follow1-patient.png,follow1-distract.png,Comprehension-20C.wav
Exp,20,4,item20cond4,follow1-agent.png,follow1-patient.png,follow1-distract.png,Comprehension-20D.wav
Exp,21,1,item21cond1,chase1-agent.png,chase1-patient.png,chase1-distract.png,Comprehension-21A.wav
Exp,21,2,item21cond2,chase1-agent.png,chase1-patient.png,chase1-distract.png,Comprehension-21B.wav
Exp,21,3,item21cond3,chase1-agent.png,chase1-patient.png,chase1-distract.png,Comprehension-21C.wav
Exp,21,4,item21cond4,chase1-agent.png,chase1-patient.png,chase1-distract.png,Comprehension-21D.wav
Exp,22,1,item22cond1,point1-agent.png,point1-patient.png,point1-distract.png,Comprehension-22A.wav
Exp,22,2,item22cond2,point1-agent.png,point1-patient.png,point1-distract.png,Comprehension-22B.wav
Exp,22,3,item22cond3,point1-agent.png,point1-patient.png,point1-distract.png,Comprehension-22C.wav
Exp,22,4,item22cond4,point1-agent.png,point1-patient.png,point1-distract.png,Comprehension-22D.wav
Exp,23,1,item23cond1,feed1-agent.png,feed1-patient.png,feed1-distract.png,Comprehension-23A.wav
Exp,23,2,item23cond2,feed1-agent.png,feed1-patient.png,feed1-distract.png,Comprehension-23B.wav
Exp,23,3,item23cond3,feed1-agent.png,feed1-patient.png,feed1-distract.png,Comprehension-23C.wav
Exp,23,4,item23cond4,feed1-agent.png,feed1-patient.png,feed1-distract.png,Comprehension-23D.wav
Exp,24,1,item24cond1,teach1-agent.png,teach1-patient.png,teach1-distract.png,Comprehension-24A.wav
Exp,24,2,item24cond2,teach1-agent.png,teach1-patient.png,teach1-distract.png,Comprehension-24B.wav
Exp,24,3,item24cond3,teach1-agent.png,teach1-patient.png,teach1-distract.png,Comprehension-24C.wav
Exp,24,4,item24cond4,teach1-agent.png,teach1-patient.png,teach1-distract.png,Comprehension-24D.wav
Exp,25,1,item25cond1,pester1-agent.png,pester1-patient.png,pester1-distract.png,Comprehension-25A.wav
Exp,25,2,item25cond2,pester1-agent.png,pester1-patient.png,pester1-distract.png,Comprehension-25B.wav
Exp,25,3,item25cond3,pester1-agent.png,pester1-patient.png,pester1-distract.png,Comprehension-25C.wav
Exp,25,4,item25cond4,pester1-agent.png,pester1-patient.png,pester1-distract.png,Comprehension-25D.wav
Exp,26,1,item26cond1,tobacco1-agent.png,tobacco1-patient.png,tobacco1-distract.png,Comprehension-26A.wav
Exp,26,2,item26cond2,tobacco1-agent.png,tobacco1-patient.png,tobacco1-distract.png,Comprehension-26B.wav
Exp,26,3,item26cond3,tobacco1-agent.png,tobacco1-patient.png,tobacco1-distract.png,Comprehension-26C.wav
Exp,26,4,item26cond4,tobacco1-agent.png,tobacco1-patient.png,tobacco1-distract.png,Comprehension-26D.wav
Exp,27,1,item27cond1,irritate1-agent.png,irritate1-patient.png,irritate1-distract.png,Comprehension-27A.wav
Exp,27,2,item27cond2,irritate1-agent.png,irritate1-patient.png,irritate1-distract.png,Comprehension-27B.wav
Exp,27,3,item27cond3,irritate1-agent.png,irritate1-patient.png,irritate1-distract.png,Comprehension-27C.wav
Exp,27,4,item27cond4,irritate1-agent.png,irritate1-patient.png,irritate1-distract.png,Comprehension-27D.wav
Exp,28,1,item28cond1,touch1-agent.png,touch1-patient.png,touch1-distract.png,Comprehension-28A.wav
Exp,28,2,item28cond2,touch1-agent.png,touch1-patient.png,touch1-distract.png,Comprehension-28B.wav
Exp,28,3,item28cond3,touch1-agent.png,touch1-patient.png,touch1-distract.png,Comprehension-28C.wav
Exp,28,4,item28cond4,touch1-agent.png,touch1-patient.png,touch1-distract.png,Comprehension-28D.wav
Exp,29,1,item29cond1,massage1-agent.png,massage1-patient.png,massage1-distract.png,Comprehension-29A.wav
Exp,29,2,item29cond2,massage1-agent.png,massage1-patient.png,massage1-distract.png,Comprehension-29B.wav
Exp,29,3,item29cond3,massage1-agent.png,massage1-patient.png,massage1-distract.png,Comprehension-29C.wav
Exp,29,4,item29cond4,massage1-agent.png,massage1-patient.png,massage1-distract.png,Comprehension-29D.wav
Exp,30,1,item30cond1,hug1-agent.png,hug1-patient.png,hug1-distract.png,Comprehension-30A.wav
Exp,30,2,item30cond2,hug1-agent.png,hug1-patient.png,hug1-distract.png,Comprehension-30B.wav
Exp,30,3,item30cond3,hug1-agent.png,hug1-patient.png,hug1-distract.png,Comprehension-30C.wav
Exp,30,4,item30cond4,hug1-agent.png,hug1-patient.png,hug1-distract.png,Comprehension-30D.wav
Exp,31,1,item31cond1,push1-agent.png,push1-patient.png,push1-distract.png,Comprehension-31A.wav
Exp,31,2,item31cond2,push1-agent.png,push1-patient.png,push1-distract.png,Comprehension-31B.wav
Exp,31,3,item31cond3,push1-agent.png,push1-patient.png,push1-distract.png,Comprehension-31C.wav
Exp,31,4,item31cond4,push1-agent.png,push1-patient.png,push1-distract.png,Comprehension-31D.wav
Exp,32,1,item32cond1,hit1-agent.png,hit1-patient.png,hit1-distract.png,Comprehension-32A.wav
Exp,32,2,item32cond2,hit1-agent.png,hit1-patient.png,hit1-distract.png,Comprehension-32B.wav
Exp,32,3,item32cond3,hit1-agent.png,hit1-patient.png,hit1-distract.png,Comprehension-32C.wav
Exp,32,4,item32cond4,hit1-agent.png,hit1-patient.png,hit1-distract.png,Comprehension-32D.wav
Filler,33,2,item33cond2,wake2-agent.png,wake2-patient.png,wake2-distract.png,Comprehension-33F.wav
Filler,34,3,item34cond3,laugh2-agent.png,laugh2-patient.png,laugh2-distract.png,Comprehension-34F.wav
Filler,35,4,item35cond4,photograph2-agent.png,photograph2-patient.png,photograph2-distract.png,Comprehension-35F.wav
Filler,36,1,item36cond1,follow2-agent.png,follow2-patient.png,follow2-distract.png,Comprehension-36F.wav
Filler,37,2,item37cond2,chase2-agent.png,chase2-patient.png,chase2-distract.png,Comprehension-37F.wav
Filler,38,3,item38cond3,point2-agent.png,point2-patient.png,point2-distract.png,Comprehension-38F.wav
Filler,39,4,item39cond4,feed2-agent.png,feed2-patient.png,feed2-distract.png,Comprehension-39F.wav
Filler,40,1,item40cond1,teach2-agent.png,teach2-patient.png,teach2-distract.png,Comprehension-40F.wav
Filler,41,1,item41cond1,pester2-agent.png,pester2-patient.png,pester2-distract.png,Comprehension-41F.wav
Filler,42,2,item42cond2,tobacco2-agent.png,tobacco2-patient.png,tobacco2-distract.png,Comprehension-42F.wav
Filler,44,4,item44cond4,touch2-agent.png,touch2-patient.png,touch2-distract.png,Comprehension-44F.wav
Filler,45,1,item45cond1,massage2-agent.png,massage2-patient.png,massage2-distract.png,Comprehension-45F.wav
Filler,46,2,item46cond2,hug2-agent.png,hug2-patient.png,hug2-distract.png,Comprehension-46F.wav
Filler,47,3,item47cond3,push2-agent.png,push2-patient.png,push2-distract.png,Comprehension-47F.wav
Filler,48,4,item48cond4,hit2-agent.png,hit2-patient.png,hit2-distract.png,Comprehension-48F.wav
